channel_name,channel_url,country,subscribers,videos_found,average_views,last_video_date,score
DiaBets,https://www.youtube.com/channel/UCTj2Ex9zWYqvZ3QyomzrUZQ,BR,1960,2,525,2026-09-10T21:30:12Z,4
Clube Do Arcade,https://www.youtube.com/channel/UC9kddwFjEeMKZf0tgpUwvvg,BR,1170,1,457,2026-09-08T17:51:38Z,4
Fatos Automotivos,https://www.youtube.com/channel/UCdFifDl6kw_r29fXc5jjXow,BR,1560,2,332,2026-09-11T12:00:19Z,4
Canal fechado com verdão,https://www.youtube.com/channel/UCHMnu4PQxkUVbgk5MhXwcDg,BR,1250,1,291,2026-09-11T02:25:32Z,4
CerVasco,https://www.youtube.com/channel/UCDkRpTJu8OCEmc2mR6vusaQ,BR,11400,1,3670,2026-09-07T03:12:45Z,3
JC GAMES CLÁSSICOS,https://www.youtube.com/channel/UC0yRC6uEYDgU3XAMzwqS8LQ,BR,18300,1,3258,2026-09-10T23:50:34Z,3
Neto Viana,https://www.youtube.com/channel/UCnPo2e9b8FaTkE72nuWl0qg,BR,12500,1,2026,2026-09-09T19:07:42Z,3
Cortes Motorzinho,https://www.youtube.com/channel/UCaAbFd27hk3Q6caXtGGBB6A,BR,13900,1,1929,2026-09-11T15:15:27Z,3
Clips raivoso ,https://www.youtube.com/channel/UCFF3yDvgYnLPnK9WziOyrhw,BR,3680,2,1836,2026-09-04T21:16:16Z,3
Corte de Marcha,https://www.youtube.com/channel/UCWncvIWToZuvDTQahUdIfyQ,BR,3360,1,1720,2026-08-26T14:35:43Z,3
Reginaldo Souza,https://www.youtube.com/channel/UCHRfe7IT5__91n_y96g5oVg,BR,10100,1,1636,2026-09-10T12:29:47Z,3
Recriados,https://www.youtube.com/channel/UCByCT6kgHeTJay42xZrzuow,BR,9520,1,1546,2026-09-10T16:00:22Z,3
🐺 Pablo Wolf,https://www.youtube.com/channel/UCH95-JpXI4qs6hdLFmQhl9Q,BR,10900,1,1506,2026-09-10T21:07:24Z,3
Estilo Autos,https://www.youtube.com/channel/UC1Uo5LomOYBme8VSnyR9Q4w,BR,15000,1,1447,2026-09-10T21:45:21Z,3
Pedrock,https://www.youtube.com/channel/UCFZpKkKKtLx_rCmPgLzTRvQ,BR,7830,1,1402,2026-09-10T23:40:22Z,3
Furtini,https://www.youtube.com/channel/UCFSKSJT-xZA4UxIrFMOExXQ,BR,18500,1,1344,2026-09-10T21:45:07Z,3
RavenaZ XP,https://www.youtube.com/channel/UCXwIRUSKcn5sQSCXKu0BKcg,BR,13300,1,1288,2026-09-10T18:13:26Z,3
CAMISA 5,https://www.youtube.com/channel/UCCeshjtMok7PEd6IiFjyyFA,BR,4940,1,1283,2026-09-06T19:06:43Z,3
GamesMr100,https://www.youtube.com/channel/UC-NIoAJGtb-Ze0KSqR77wuw,BR,10500,1,1251,2026-09-11T07:14:28Z,3
CARDOSO TV,https://www.youtube.com/channel/UCS3JWyVx8Ts8f-UOssXo5Tw,BR,17500,1,1230,2026-09-09T23:52:36Z,3
Negócio Sobre Rodas,https://www.youtube.com/channel/UCIwWsgWUB7JfCtl779oUiEA,BR,8480,1,1154,2026-09-09T21:00:34Z,3
Guilherme do GTI PQP,https://www.youtube.com/channel/UCmVVyJ8L64OmTjtQUzVJkig,BR,14100,1,1151,2026-09-11T02:51:16Z,3
Bora de Opala,https://www.youtube.com/channel/UCd-8ib0WhWvtvabES5M8BMQ,BR,8010,1,1141,2026-09-10T21:18:33Z,3
InforGamer,https://www.youtube.com/channel/UC5O2Y_xxWqrhDWzwt4yNmdg,BR,11500,1,1134,2026-09-10T23:58:02Z,3
STEP SHOW,https://www.youtube.com/channel/UCp9p43i2vaGmlwCSSuz_Nkg,BR,9650,1,1125,2026-09-10T20:18:56Z,3
Rrtecnologia07,https://www.youtube.com/channel/UC83O8ETdJPRoT8dzi9d9axg,BR,14800,1,1121,2026-09-10T20:02:41Z,3
Rhenan | O Drop,https://www.youtube.com/channel/UC476l58ShoVpK_Y5yGEAyvw,BR,15200,1,1121,2026-09-10T18:08:20Z,3
phil,https://www.youtube.com/channel/UC3x2_pMHJnoclAx_5uTfllQ,BR,15500,1,1069,2026-09-11T15:00:09Z,3
NilGames XP,https://www.youtube.com/channel/UCY2oRcEyDYr7IUTeBhlXfqw,BR,12600,1,1044,2026-09-08T02:35:06Z,3
Andre Tutor,https://www.youtube.com/channel/UCAqVm51W1liCvlmEiR_LYdA,BR,17700,1,1041,2026-09-10T23:16:18Z,3
Futebol Brasileiro News,https://www.youtube.com/channel/UC1s95RDQbJ9b1pi6EobdElg,BR,17100,1,1025,2026-09-11T15:09:09Z,3
DNA Rubro-Negro,https://www.youtube.com/channel/UCc-4WJW3dlX8VVhHfXVSR0g,BR,4820,1,1014,2026-09-06T21:11:53Z,3
Mais Uma Marcha,https://www.youtube.com/channel/UCcQfzCerRqxKuqjv-EMO1Og,BR,6400,1,1009,2026-09-11T11:30:24Z,3
Auto Avaliador Consultoria Automotiva,https://www.youtube.com/channel/UCsBdVbIKJ6D4rOBI8M3un5g,BR,1430,2,984,2026-09-01T10:00:26Z,3
Palestra Futebol TV,https://www.youtube.com/channel/UCtg3vyIhC7lYrwyaPGiI-Rw,BR,7940,1,957,2026-09-11T14:18:22Z,3
Luiz HGames,https://www.youtube.com/channel/UCGYi5ORIE2EVgeT7AHE_onQ,BR,14800,1,916,2026-09-10T16:00:15Z,3
EletroPower Lab,https://www.youtube.com/channel/UC_o4jqJjrkOowNZ5sfI241g,BR,10500,1,913,2026-09-10T15:00:11Z,3
teeduartee,https://www.youtube.com/channel/UCb5H_nWzxROJErEDlSf9CCw,BR,7670,1,902,2026-09-10T21:10:54Z,3
PodGolRio,https://www.youtube.com/channel/UC1JCuAFT0al2hXwKg6wjSOA,BR,5780,1,879,2026-09-10T14:20:12Z,3
Ralysson Motors,https://www.youtube.com/channel/UCAFSUgsj1soxe9TOLnPt4fw,BR,5040,1,819,2026-09-11T15:30:00Z,3
corte boo maromba ,https://www.youtube.com/channel/UC0f7deDAepn8FG1AsyZf8Rw,BR,19900,3,816,2026-09-11T16:00:36Z,3
Jickr Gols,https://www.youtube.com/channel/UCifwBQTBWUsn1zmjEtk661A,BR,8380,1,815,2026-09-11T17:59:27Z,3
"Fala, Luca FC",https://www.youtube.com/channel/UCeZgOFPXW7MbJPc62neyraA,BR,4650,1,788,2026-09-11T17:32:00Z,3
HZ Games Tech,https://www.youtube.com/channel/UC6_6JOBNwivqV7ksf6h4CIw,BR,7160,1,781,2026-09-09T23:53:26Z,3
Isto é Avaí,https://www.youtube.com/channel/UCLEOk-ZHXUfoQskQ98EJVgQ,BR,14100,1,768,2026-09-10T21:38:18Z,3
Uander Santos,https://www.youtube.com/channel/UCWoRKa7vbF79qd0iZp794wQ,BR,6530,1,767,2026-09-11T11:01:01Z,3
falaporcada1914,https://www.youtube.com/channel/UCT0JFMehw7Hfdfn3tTJ3SAA,BR,6670,1,735,2026-09-10T19:15:22Z,3
A.R PINTURAS AUTOMOTIVAS,https://www.youtube.com/channel/UCsEXNUEHjAoGbr1Q_ixg5wg,BR,1610,2,644,2026-09-03T22:31:57Z,3
JackSpace,https://www.youtube.com/channel/UCxKMGGt7hNYUl3Fi5s10Wrw,BR,9230,1,625,2026-09-11T15:02:54Z,3
Atriaki,https://www.youtube.com/channel/UC7l_i6gvwW-7G6tg2yGwzAQ,BR,4320,1,590,2026-09-10T20:56:53Z,3
ZevPro – Suba de Nível no EA FC,https://www.youtube.com/channel/UCxZSFUz9q7N3VN8Lp7B1L9Q,BR,9570,1,582,2026-09-11T15:00:24Z,3
Goshi,https://www.youtube.com/channel/UCdj5AtvS-FHybWtcGHinCoQ,BR,2910,1,570,2026-09-11T15:00:02Z,3
Fala Pedro Reis | Jornalismo Esportivo,https://www.youtube.com/channel/UCIEmroGKdXk8UHGKJPLkghQ,BR,4290,1,499,2026-09-11T16:00:30Z,3
Plantão Verdão 1914,https://www.youtube.com/channel/UCBhLFZ0wWKqN5TJohrMT8pg,BR,12100,1,404,2026-09-11T15:00:01Z,3
Rankingbrabo,https://www.youtube.com/channel/UCwYR1C2_CO11BifGg4nZ3BQ,BR,7200,1,320,2026-09-11T18:45:09Z,3
FORTE VINGADOR NEWS,https://www.youtube.com/channel/UCX9w75DofSy6vb_ygZNoa0g,BR,2080,1,320,2026-09-11T18:12:47Z,3
FABIO MORENO,https://www.youtube.com/channel/UC3iMcwFtm67Pm_9wJ9dmTTg,BR,1360,2,236,2026-09-10T23:30:47Z,3
PONTOCOM - INFORMÁTICA,https://www.youtube.com/channel/UCjs2XmDaggwqmIL40DKUk-Q,BR,4150,1,230,2026-09-11T15:00:03Z,3
SHAMAN RP,https://www.youtube.com/channel/UCbp7NcZHQWOT6IERdDlTqAg,BR,10500,1,217,2026-09-10T15:00:10Z,3
Home Gym Brasil,https://www.youtube.com/channel/UCV-fFm2LvI4GhiIoKIW2F3Q,BR,4140,1,214,2026-09-11T14:45:33Z,3
Golden fisherman,https://www.youtube.com/channel/UC-VPq2Aq_-g1XpMm_nOt8jA,BR,3530,1,201,2026-09-11T15:55:38Z,3
Garagem da mecânica,https://www.youtube.com/channel/UCoPBapy4fxF3UBdxFM04KCw,BR,7610,1,147,2026-09-11T18:56:17Z,3
Carros Fã Clube,https://www.youtube.com/channel/UChRlc-ut2mert79W43s4YHg,BR,4510,2,142,2026-09-09T15:00:01Z,3
Grupo Visual,https://www.youtube.com/channel/UC1I6sgUFQrRPhfnMvKZmWfQ,BR,2030,1,125,2026-09-10T21:28:08Z,3
MESTRE_ALTINO,https://www.youtube.com/channel/UCkdklQBvgW03uWIaN2HfzxQ,BR,3840,1,115,2026-09-11T09:32:22Z,3
mryeester em Português,https://www.youtube.com/channel/UC2jLDF-sBIuO2U6zpUtUk6Q,BR,4930,1,114,2026-09-10T16:00:34Z,3
RESENHA TV,https://www.youtube.com/channel/UCSmZtlkgiy8nEJp-U7kf1KA,BR,1790,1,101,2026-09-09T12:29:29Z,3
Descomplica IA,https://www.youtube.com/channel/UChEE72yNdlXCWJVgiDKkbIA,BR,9320,1,80,2026-09-11T02:10:18Z,3
Tom de Tecnologia,https://www.youtube.com/channel/UCE8q0JYHcxa6_dfti-7Uc4w,BR,8040,1,77,2026-09-11T11:25:21Z,3
BulletVexille,https://www.youtube.com/channel/UC365IAjDBtEqSC_3suY1XdA,BR,1330,2,67,2026-09-11T18:37:29Z,3
Tatchi Matz - Terapeuta Corporal Integrativa,https://www.youtube.com/channel/UC1ifr5cHGMk0Y70cz59iJgw,BR,14000,1,67,2026-09-08T18:16:51Z,3
CRAQUE NEWS,https://www.youtube.com/channel/UCEJofZUnoOvsGXWQZNde-xA,BR,2490,1,62,2026-09-10T15:00:38Z,3
LC Games Digitais,https://www.youtube.com/channel/UCg4q8pelGHYzThrFTwKprmA,BR,5760,1,51,2026-09-11T17:16:20Z,3
Estúdio 144,https://www.youtube.com/channel/UCSI7FZoxKUMtKhdYQ5vRguA,BR,1780,1,46,2026-09-09T22:00:31Z,3
Gian Lumertz,https://www.youtube.com/channel/UCpYbhqcwRlHHgx_2r5LsvFw,BR,1870,1,17,2026-09-11T13:55:38Z,3
HCLcar,https://www.youtube.com/channel/UCwPJ9OfzWQlUCMB7c7Rfy7w,BR,1150,1,10,2026-09-10T08:58:03Z,3
THZIN FPS,https://www.youtube.com/channel/UCZ1aub_A9qOuUNfpyuZ7Z8A,BR,2330,1,8,2026-09-09T14:30:15Z,3
Yakisame,https://www.youtube.com/channel/UCSsFopqZLACho2zwXRtdxUQ,BR,10400,1,8,2026-09-11T03:12:57Z,3
Canto da bola ,https://www.youtube.com/channel/UC5ZQZxM8HRJCeT8JmwLB_Dg,BR,1300,1,7,2026-09-10T16:32:32Z,3
ALX Motors,https://www.youtube.com/channel/UCMCkaEYtoQbgd4HqTGmADyA,BR,7700,1,7,2026-09-11T14:42:41Z,3
rxfael,https://www.youtube.com/channel/UCodG6dwwpWz0pTzQ_Nhxi7g,BR,2860,1,5,2026-09-11T14:00:04Z,3
Game Over,https://www.youtube.com/channel/UCqpfUrvV-ulEADKpx2Pp35Q,BR,2080,1,3,2026-09-11T10:30:04Z,3
Rovati YT,https://www.youtube.com/channel/UCiUYq4HFi1eh113G0kce1AQ,BR,6530,1,1,2026-09-11T15:00:39Z,3
Papo Clipado,https://www.youtube.com/channel/UCwEz03QHp3lU1n-9pPI1Dpw,BR,1960,1,1,2026-09-11T15:04:27Z,3
LAFAIETE Car Service.,https://www.youtube.com/channel/UC7PIy5SeAAZhwZU93j3ylcA,BR,1680,1,0,2026-09-11T18:50:23Z,3
Isabela Ramos,https://www.youtube.com/channel/UCL88bRjWLcnkYjvXdFdgNyA,BR,7920,1,0,2026-09-11T19:14:38Z,3
Gege - Futebol,https://www.youtube.com/channel/UCXKYFPPxRuFeddD-bGwaU3w,BR,11000,1,0,2026-09-11T19:00:10Z,3
MITO TV SHOW,https://www.youtube.com/channel/UCws3dysplsXRZd7ociZsblA,BR,1910,1,0,2026-09-10T21:01:57Z,3
Nerdlicious,https://www.youtube.com/channel/UCSkDgw4YOIbGYrmo_mtF5EA,BR,2170,1,0,2026-09-11T15:00:05Z,3
Anime World BR,https://www.youtube.com/channel/UC16A5_9m4gZ_hEZLUdCHtUQ,BR,1420,1,698,2026-08-31T14:03:39Z,2
Felipe Combos,https://www.youtube.com/channel/UCVMzaSlLUoNzOVGDW5DYV2w,BR,2290,1,559,2026-08-29T22:34:39Z,2
Respire | Adriane Faganello,https://www.youtube.com/channel/UCQ_DcgEXcmhnCnr6hAEWp1g,BR,7690,1,366,2026-09-05T22:00:02Z,2
Loja Carros,https://www.youtube.com/channel/UCE5fJwtg0wE-bRRD3_gVBBQ,BR,1780,6,337,2026-09-01T21:52:02Z,2
FELCA CORTES,https://www.youtube.com/channel/UCprs4L6jXulryh_MdCHC2Ng,BR,2530,1,219,2026-09-07T00:01:10Z,2
